conf_id,person_model,station_model,person_conf,person_iou,imgsz,tracker,PROXIMITY_THRESHOLD,MIN_TIME_OUTSIDE,video,complejo,evasion_pred_count,evasion_real_count,evasion_real,evasion_pred,case1_count,case2_count
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118084933-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120184700-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118081251-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181022200756-04.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118175209-04.mkv,YES,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181023073805-01.mkv,NO,2,1,SI,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181020070932-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118175221-03.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181023194104-00.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118193953-00.mkv,NO,2,1,SI,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120071920-01.mkv,NO,1,1,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181019081232-00.mkv,NO,2,1,SI,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120071920-03.mkv,NO,1,3,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118171618-05.mkv,NO,2,2,SI,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118175157-05.mkv,NO,2,0,NO,SI,0,2
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118201555-03.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118054821-01.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181023102050-00.mkv,NO,1,2,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118160343-06.mkv,YES,5,5,SI,SI,1,4
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181120071920-02.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181118122633-05.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118152720-00.mkv,NO,1,2,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118163943-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181120171656-03.mkv,YES,2,3,SI,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118164005-01.mkv,YES,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118130236-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181121065255-03.mkv,NO,2,0,NO,SI,1,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118175221-05.mkv,YES,1,0,NO,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119085835-02.mkv,NO,5,5,SI,SI,0,5
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181119121740-01.mkv,NO,1,1,SI,SI,1,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118060627-00.mkv,NO,0,0,NO,NO,0,0
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch1_20181118053021-00.mkv,NO,1,1,SI,SI,0,1
config_1,yolo_models/yolo11tm.pt,station_models/stationv2.pt,0.35,0.4,1920,trackers/bytetrack.yaml,150,1,Ch2_20181019062355-01.mkv,NO,1,0,NO,SI,0,1
